"","X1","X2","X3"
"1","STR. DETUNATA NR. 39A, ABRUD, ALBA",NA,NA
"2","STR. HOREA NR. 8A, ABRUD, ALBA",NA,NA
"3","NR. 34A, ACMARIU, ALBA",NA,NA
"4","STR. CRINULUI NR. 5, AIUD, ALBA",NA,NA
"5","STR. AUREL VLAICU NR. 8, AIUD, ALBA","46.3169524","23.7277879"
"6","STR. FLORILOR NR. 9, AIUD, ALBA","46.3205125","23.7161632"
"7","STR. AUREL VLAICU NR. 8, AIUD, ALBA","46.3169524","23.7277879"
"8","STR. FLORILOR NR. 9, AIUD, ALBA","46.3205125","23.7161632"
"9","STR. AVRAM IANCU NR. 19, AIUD, ALBA","46.3111622","23.7069597"
"10","STR. SERGENT HATEGAN BL. B11-13, SC. B, AP. 16, AIUD, ALBA",NA,NA
"11","STR. CÂMPULUI NR. 34, AIUD, ALBA","46.3189773","23.7314008"
"12","STR. FLORILOR NR. 9, AIUD, ALBA","46.3205125","23.7161632"
"13","STR. ION CREANGA NR. 10, AIUD, ALBA","46.3100201","23.728315"
"14","STR. BUCURESTI NR. 39, ALBA IULIA, ALBA","46.0697417","23.593554"
"15","STR. MIRCEA CEL BATRÂN NR. 5, BL. 14, AP. 17, ALBA IULIA, ALBA",NA,NA
"16","STR. BUCEGI NR. 2A, ALBA IULIA, ALBA","46.0310871","23.5641879"
"17","STR. SAMUEL MICU NR. 4, BL. 19, AP. 10, ALBA IULIA, ALBA",NA,NA
"18","STR. ARIESULUI NR. 45, BL. 243, AP. 8, ALBA IULIA, ALBA",NA,NA
"19","STR. DR. IOAN RATIU NR. 34, ALBA IULIA, ALBA","46.0747257","23.5654113"
"20","STR. DR. IOAN RATIU NR. 34, ALBA IULIA, ALBA","46.0747257","23.5654113"
"21","STR. DR. IOAN RATIU NR. 34, ALBA IULIA, ALBA","46.0747257","23.5654113"
"22","STR. MIHAI VITEAZU NR.10, ALBA IULIA, ALBA",NA,NA
"23","CALEA MOTILOR NR. 67C, ALBA IULIA, ALBA",NA,NA
"24","B-DUL REVOLUTIEI 1989 NR. 22, BL. V3, AP. 17, ALBA IULIA, ALBA",NA,NA
"25","STR. ARBUSTILOR NR. 2, ALBA IULIA, ALBA","46.0653427","23.5624664"
"26","BD. REVOLUTIEI 1989 NR.16, BL. B5, ET. 3, AP. 11, ALBA IULIA, ALBA",NA,NA
"27","CALEA MOTILOR NR. 67C, ALBA IULIA, ALBA",NA,NA
"28","B-DUL REVOLUTIEI 1989 NR. 22, BL. V3, AP. 17, ALBA IULIA, ALBA",NA,NA
"29","STR. MIRCEA CEL BATRÂN NR. 7, BL.15, AP. 39, ALBA IULIA, ALBA",NA,NA
"30","STR. MATEI CORVIN NR. 19, ALBA IULIA, ALBA","46.0594325","23.5610876"
"31","STR. GEORGE ENESCU NR. 12, ALBA IULIA, ALBA","46.0824074","23.5611602"
"32","STR. ALEXANDRU GH. GOLESCU, NR. 4, BLAJ, ALBA",NA,NA
"33","STR. ALEXANDRU GH. GOLESCU, NR. 4, BLAJ, ALBA",NA,NA
"34","STR. PANDURILOR NR. 77, MAGINA (MUN. AIUD), ALBA",NA,NA
"35","STR. BOGDAN PETRICEICU HASDEU NR. 28, OCNA MURES, ALBA","46.3805557","23.8475738"
"36","ALEEA INDEPENDENTEI NR. 7, BL. 4, SC. B, AP. 12, OCNA MURES, ALBA",NA,NA
"37","STR. LUNGA NR. 186, OCNA MURES, ALBA",NA,NA
"38","STR. 8 MARTIE NR. 8, OCNA MURES, ALBA","46.3907869","23.8861682"
"39","STR. CETATE NR.411, RAZBOIENI-CETATE, ALBA",NA,NA
"40","BLD. LUCIAN BLAGA BL. 79, AP. 2, SEBES, ALBA",NA,NA
"41","B-DUL LUCIAN BLAGA NR. 16A, SEBES, ALBA","45.9560572","23.5762047"
"42","B-DUL LUCIAN BLAGA NR. 45, SEBES, ALBA","45.9560572","23.5762047"
"43","STR. CÂNTARULUI NR. 29, SEBES, ALBA","45.9529702","23.5777912"
"44","ALEEA PARC BL. 14, AP. 6, SEBES, ALBA",NA,NA
"45","STR. MIHAIL KOGALNICEANU NR. 2, SEBES, ALBA","45.9659146","23.5575207"
"46","STR. PRINCIPALA NR. 105, STRAJA, ALBA",NA,NA
"47","NR. 1291A, TARINA, ALBA",NA,NA
"48","STR. DECEBAL NR. 146, TEIUS, ALBA",NA,NA
"49","STR. VICTORIEI NR. 77, VALEA LUNGA, ALBA",NA,NA
"50","STR. GHEORGHE SINCAI NR. 16, ARAD, ARAD","46.1728582","21.3063182"
"51","STR.BELA BARTOK NR.21, AP.1, ARAD, ARAD",NA,NA
"52","BLD. STEFAN A. DOINAS NR. 7-11 BL. M4 SC. B AP. 9, ARAD, ARAD",NA,NA
"53","STR. RODNEI NR. 2B, SC. A, AP. 8, ARAD, ARAD",NA,NA
"54","CAL. AUREL VLAICU, NR. 267, ARAD, ARAD",NA,NA
"55","STR. PIATA SIRBEASCA, NR. 1, ARAD, ARAD",NA,NA
"56","STR. MARSESTI NR. 30, ARAD, ARAD",NA,NA
"57","BLD. IULIU MANIU NR.130, ARAD, ARAD",NA,NA
"58","CALEA AUREL VLAICU BL.A10-2,ET.3,AP.72, ARAD, ARAD",NA,NA
"59","STR.IOAN BREZOIANU NR.11, ARAD, ARAD","46.2024455","21.2994312"
"60","STR.CONDURASILOR BL.84,SC.A,AP.11, ARAD, ARAD",NA,NA
"61","STR.LILIAC NR.16, ARAD, ARAD","46.1826238","21.3436167"
"62","ALE. HIPOCRAT NR. 2 BL. B1-3 SC. C AP. 30, ARAD, ARAD",NA,NA
"63","STR.ANDREI SAGUNA NR.10, ARAD, ARAD","46.1817205","21.3098904"
"64","SPL. GHEORGHE MAGHERU BL. 303/1, SC. B, AP. 11, ARAD, ARAD",NA,NA
"65","BLD. REVOLUTIEI NR. 26-38, SC. J, AP. 15, ARAD, ARAD",NA,NA
"66","STR.PREDEAL NR.10A,BL.2B,SC.C,ET.10,AP.63, ARAD, ARAD",NA,NA
"67","STR.MOLIDULUI NR.45, ARAD, ARAD","46.1386176","21.3176798"
"68","STR.EPISCOP ROMAN CIOROGARIU NR.69, ARAD, ARAD",NA,NA
"69","STR. LIVIU REBREANU NR. 39, ARAD, ARAD","46.1788539","21.3019593"
"70","STR.GEORGE G.BYRON NR.6-8,BL.102,SC.C,AP.18, ARAD, ARAD",NA,NA
"71","STR. FRATIEI NR.32, BL. 705, SC. A, ET.4, AP. 9, ARAD, ARAD",NA,NA
"72","ARAD,STR.FULGERULUI NR.15B,BL.Z9/A,AP.20, ARAD, ARAD",NA,NA
"73","STR.PREDEAL NR.10A,BL.2B,SC.C,ET.10,AP.63, ARAD, ARAD",NA,NA
"74","STR. FULGERULUI NR. 158, BL. Z9A, AP. 20, ARAD, ARAD",NA,NA
"75","STR.LILIAC NR.16, ARAD, ARAD","46.1826238","21.3436167"
"76","STR. LUCEAFARULUI NR. 14, ET. 4, AP. 19, ARAD, ARAD",NA,NA
"77","STR. CERBULUI NR. 40, ARAD, ARAD","46.1802879","21.3515418"
"78","STR.IMASULUI BL.2,SC.A,ET.4,AP.19, ARAD, ARAD",NA,NA
"79","CAL. AUREL VLAICU BL. Z26, SC. B, ET. 1, AP.3, ARAD, ARAD",NA,NA
"80","STR. ABRUD NR. 98, BL. 129, SC. B, ET. 3, AP. 8, ARAD, ARAD",NA,NA
"81","BLD. IULIU MANIU NR .5, BL. E, SC. A, ET. 1, AP. 8, ARAD, ARAD",NA,NA
"82","STR. MUSETEL NR. 45, ARAD, ARAD","46.1860031","21.2990612"
"83","NR.192, CICIR, ARAD",NA,NA
"84","STR.PRINCIPALA,NR.52, CLADOVA, ARAD",NA,NA
"85","NR.399, CUVIN, ARAD",NA,NA
"86","STR.I.BUTEANU NR.11, GURAHONT, ARAD",NA,NA
"87","STR. GHEORGHE DOJA NR. 2, INEU, ARAD","46.4231798","21.8581715"
"88","STR. C.I.DUMITRASCU NR.2,BL.4-2,SC.C,AP.16, INEU, ARAD",NA,NA
"89","STR.AVRAM IANCU NR.42, INEU, ARAD","46.4238062","21.8484167"
"90","STR.MURESULUI NR.1,SC.2,ET.1,AP.8, INEU, ARAD",NA,NA
"91","STR.DETASAMENTUL PAULIS NR.43, LIPOVA, ARAD",NA,NA
"92","STR.AUREL VLAICU NR.3,BL.60,SC.A,ET.3,AP.16, LIPOVA, ARAD",NA,NA
"93","STR.TRAIAN NR.271, LIPOVA, ARAD",NA,NA
"94","STR. CLUJULUI NR. 14, LIPOVA, ARAD",NA,NA
"95","STR.1,BL.D1D,ET.2,AP.26, PECICA, ARAD",NA,NA
"96","STR.226 NR.16, PECICA, ARAD",NA,NA
"97","STR.218,BL.D1E,ET.2,AP.5, PECICA, ARAD",NA,NA
"98","STR.121,NR.7, PECICA, ARAD",NA,NA
"99","STR. MARASESTI NR. 50, PINCOTA, ARAD",NA,NA
"100","NR.1O1, PLESCUTA, ARAD",NA,NA
"101","STR. CAMPULUI NR. 31, SANTANA, ARAD","46.3389501","21.5014821"
"102","NR. 522A, SAT BUTENI (COM. BUTENI), ARAD",NA,NA
"103","NR. 459, SAT OLARI (COM. OLARI), ARAD",NA,NA
"104","NR. 84A, SAT SINLEANI (COM. LIVADA), ARAD",NA,NA
"105","NR. 38, VARSAND, ARAD","46.6175797","21.3448937"
"106","STR. CRISAN NR. 18, VLADIMIRESCU, ARAD","46.1541217","21.4012195"
"107","VIENA, AUSTRIA, ARGE<U+0218>",NA,NA
"108","STR.LUJERULUI NR.6 BL.100 SC.C ET.6 AP.113 SECTOR 6, BUCURESTI, ARGE<U+0218>",NA,NA
"109","STR.PROF. GHEORGHE MITU NR.22A, CAMPULUNG, ARGE<U+0218>",NA,NA
"110","STR.POET GRIGORE ALEXANDRESCU NR.41 JUD.                    ARGES, CAMPULUNG, ARGE<U+0218>",NA,NA
"111","STR.POET GRIGORE ALEXANDRESCU NR.41 JUD.                    ARGES, CAMPULUNG, ARGE<U+0218>",NA,NA
"112","STR.G-RAL C.SIMIONESCU NR.13 BL.A3 SC.B AP.30 JUD.ARGES, CAMPULUNG, ARGE<U+0218>",NA,NA
"113","STR. CARPATI NR.78 BL.D18B SC.6 AP.4, CAMPULUNG, ARGE<U+0218>",NA,NA
"114","STR.GRUIULUI NR.74BIS BL.P13 SC.B AP.13 JUD. ARGES, CAMPULUNG, ARGE<U+0218>",NA,NA
"115","STR. GHEORGHE DOJA NR. 26BIS  JUD.ARGES, CAMPULUNG, ARGE<U+0218>",NA,NA
"116","B-DUL ION MIHALACHE NR.22  JUD. ARGES, CAMPULUNG MUSCEL, ARGE<U+0218>",NA,NA
"117","STR.G-RAL SIMONESCU NR.8 BL.4 SC.A ET.1 AP.1 JUD.ARGES, CIMPULUNG, ARGE<U+0218>",NA,NA
"118","STR.G-RAL C.SIMONESCU NR.6 BL.3 SC.B ET.4 AP.4 JUD.ARGES, CIMPULUNG, ARGE<U+0218>",NA,NA
"119","STR.CONSTANTIN BRINCOVEANU NR.7 JUD.ARGES, CIMPULUNG, ARGE<U+0218>",NA,NA
