"","X1","X2","X3"
"1","ABRUD","46.2746751","23.0650287"
"2","ACMARIU","45.965968","23.3624858"
"3","ADJUD","46.1005122","27.1810469"
"4","AGAPIA, COM. AGAPIA",NA,NA
"5","AGNITA","45.9746578","24.6233717"
"6","AIUD","46.3108893","23.7188181"
"7","ALBA IULIA","46.0687385","23.5704398"
"8","ALBESTI-PALEOLOGU","44.9541225","26.2294031"
"9","ALESD","47.0596749","22.3973751"
"10","ALEXANDRIA","31.199004","29.894378"
"11","APAHIDA","46.8021725","23.7546388"
"12","ARAD","46.1753793","21.3196342"
"13","ARBORE, COM. ARBORE",NA,NA
"14","ARDUD","47.6398625","22.889335"
"15","ASAU, COM. ASAU",NA,NA
"16","AUSTRIA","47.2000338","13.199959"
"17","B<U+0395>RLAD","47.0117553","24.5577411"
"18","BABENI","44.9753376","24.234565"
"19","BACAU","46.42613415","26.7120540012692"
"20","BACIA","45.8025818","23.0062276"
"21","BAIA MARE","47.6565584","23.5719843"
"22","BAIA SPRIE","47.6615913","23.6922094"
"23","BAICOI","45.0336472","25.8628287"
"24","BAILE FELIX","46.9896227","21.9812623"
"25","BAILE HERCULANE","44.8785058","22.4143883"
"26","BAILESTI","44.0230929","23.3450079"
"27","BAISESTI, COM. CORNU LUNCII",NA,NA
"28","BAIUT","47.6139872","23.9975195"
"29","BALAN","45.8333789","5.0969884"
"30","BALOTESTI","46.4016758","27.3135004"
"31","BALS","44.350577","24.1000283"
"32","BEIUS","46.6667533","22.3527085"
"33","BELIS","16.8259793","-88.7600927"
"34","BELTIUG","47.5492272","22.8428066"
"35","BERZOVIA","45.4259715","21.629009"
"36","BIRLAD","46.227535","27.66897"
"37","BISTRITA","47.1327012","24.4963949"
"38","BISTRITA BÂRGAULUI","47.2086299","24.7618089"
"39","BIVOLARIA, ORS. VICOVU DE SUS",NA,NA
"40","BLAJ","46.1741571","23.9224826"
"41","BOBOTA","47.3823064","22.7667801"
"42","BOCSA","45.3781756","21.7312589"
"43","BOGDAN VODA, COM. SAUCESTI",NA,NA
"44","BOGESTI, COM. POGANA",NA,NA
"45","BOIU","46.2657028","24.8748233"
"46","BOLDESTI-SCAIENI","45.0157683","26.0257078192475"
"47","BOLINTIN-VALE","44.4474877","25.7584353"
"48","BORSEC","46.9639588","25.5609031"
"49","BOTOSANI","47.85234105","26.7595119265934"
"50","BRAD","46.1302414","22.7921521"
"51","BRAGADIRU","44.373512","25.9804935"
"52","BRAILA","45.2716092","27.9742932"
"53","BRASOV","45.6523093","25.6102746"
"54","BREAZA","46.761177","24.6367393"
"55","BRUSTURI, COM. BRUSTURI",NA,NA
"56","BUCECEA","47.7726498","26.4397674"
"57","BUCURE?TI",NA,NA
"58","BUCURESRI",NA,NA
"59","BUCURESTI","44.4361414","26.1027202"
"60","BUCURSETI",NA,NA
"61","BUFTEA","44.5598644","25.9498677"
"62","BUHUSI","46.7162854","26.7047029"
"63","BUSTENI","45.4147706","25.5354853"
"64","BUZAU","45.26925815","26.7748172789942"
"65","CACIULATA, COM. RICIU",NA,NA
"66","CALAFAT","43.9942983","22.9337027"
"67","CALAN","47.87551","-3.32207"
"68","CALAN-STREISINGIORGIU",NA,NA
"69","CALARASI","44.31518745","27.1390156481334"
"70","CALIMANESTI","45.2401542","24.3412638"
"71","CAMPIA TURZII","46.5471807","23.8869669"
"72","CÂMPIA TURZII","46.5471807","23.8869669"
"73","CAMPINA","-22.90556","-47.06083"
"74","CAMPULUNG","45.2737673","25.046576"
"75","CAMPULUNG MOLDOVENESC","47.5297764","25.5597482"
"76","CÂMPULUNG MOLDOVENESC","47.5297764","25.5597482"
"77","CAMPULUNG MUSCEL","45.2737673","25.046576"
"78","CARACAL","44.1123292","24.3463095"
"79","CARANSEBES","45.4106108","22.2182232"
"80","CAREI","47.6829389","22.4694995"
"81","CECHESTI, COM. AVRAMESTI",NA,NA
"82","CEPTURENI","44.9934519","22.7624558"
"83","CERNAVODA","44.3416349","28.0316248"
"84","CERVENIA","43.8331337","25.4597777"
"85","CHIAJNA","44.4588774","25.9778979"
"86","CHIMINDIA","45.8943775","22.9950745"
"87","CHINTENI","46.861747","23.5404553"
"88","CICIR","46.1452578","21.4807394"
"89","CIMPINA",NA,NA
"90","CIMPULUNG","47.5175093","25.5946425"
"91","CIOFLICENI, COM. SNAGOV",NA,NA
"92","CIOLPANI","44.7253907","26.1052156"
"93","CISNADIE","45.7168421","24.1546237"
"94","CIUCSÂNGEORGIU","46.3220179","25.9566158"
"95","CIUPERCENII VECHI","43.9451224","22.8946867"
"96","CLADOVA","45.8662561","21.970392"
"97","CLUJ-NAPOACA",NA,NA
"98","CLUJ-NAPOCA","46.769379","23.5899542"
"99","CLUJ NAPOCA","46.769379","23.5899542"
"100","CODLEA","45.6920575","25.4473931"
"101","CODRU","46.6331969","22.1451883"
"102","COM","-8.358213","127.0591837"
"103","COM MOSOAIA",NA,NA
"104","COM TESLUI",NA,NA
"105","COM. BABAITA",NA,NA
"106","COM. BANESTI",NA,NA
"107","COM. BECLEAN",NA,NA
"108","COM. BERCA",NA,NA
"109","COM. BERCENI","44.3865495","26.1375559"
"110","COM. BEZDEAD",NA,NA
"111","COM. BIRLA",NA,NA
"112","COM. BLEJOI",NA,NA
"113","COM. BOTENI",NA,NA
"114","COM. BREBENI",NA,NA
"115","COM. BREZOAELE",NA,NA
"116","COM. BUZESCU",NA,NA
"117","COM. CALINESTI","44.087422","25.2449221"
"118","COM. CALVINI",NA,NA
"119","COM. CARBUNESTI",NA,NA
"120","COM. CHIAJNA",NA,NA
"121","COM. COCORASTII COLT",NA,NA
"122","COM. CORBEANCA",NA,NA
"123","COM. COZIENI",NA,NA
"124","COM. CREVENICU",NA,NA
"125","COM. DRAGOMIRESTI","44.5066211","25.8797665"
"126","COM. FINTINELE",NA,NA
"127","COM. FLORESTI-STOENESTI",NA,NA
"128","COM. GHERASENI",NA,NA
"129","COM. GORNET",NA,NA
"130","COM. GRADINARI",NA,NA
"131","COM. GRECI","38.0386557","23.7515899"
"132","COM. GURA OCNITEI",NA,NA
"133","COM. I.L. CARAGIALE","47.05246105","28.8705264268618"
"134","COM. IONESTI SAT IONESTI",NA,NA
"135","COM. IZVOARELE",NA,NA
"136","COM. LERESTI",NA,NA
"137","COM. LIMANU",NA,NA
"138","COM. LIPANESTI",NA,NA
"139","COM. MAGURELE","44.3593135","26.0334228453894"
"140","COM. MANESTI",NA,NA
"141","COM. MARACINENI",NA,NA
"142","COM. MATASARU",NA,NA
"143","COM. MEREI",NA,NA
"144","COM. MIHAIL KOGALNICEANU",NA,NA
"145","COM. MOVILA","44.5380497","27.7145535"
"146","COM. PETRESTI",NA,NA
"147","COM. PIETROASELE",NA,NA
"148","COM. PODENII NOI",NA,NA
"149","COM. POJEJENA, SAT BELOBRESCA",NA,NA
"150","COM. RADOVEANU",NA,NA
"151","COM. SACENI",NA,NA
"152","COM. SAGEATA",NA,NA
"153","COM. SAHATENI",NA,NA
"154","COM. SAPOCA",NA,NA
"155","COM. SCORTENI",NA,NA
"156","COM. SOCOL",NA,NA
"157","COM. SOCOL, SAT ZLATITA",NA,NA
"158","COM. SOMOVA","45.1697789","28.7356666"
"159","COM. SOTINGA",NA,NA
"160","COM. TARLUNGENI",NA,NA
"161","COM. TEISANI",NA,NA
"162","COM. TROIANUL",NA,NA
"163","COM. TROIANUL, SAT. TROIANUL",NA,NA
"164","COM. VADU PASII",NA,NA
"165","COM. VADU SAPAT",NA,NA
"166","COM. VALEA CALUGAREASCA",NA,NA
"167","COM. VARBILAU","45.1826639","25.9587883"
"168","COM. VIDRA",NA,NA
"169","COM. VISINA",NA,NA
"170","COM. VULCAN","45.661117","25.604002"
"171","COM.ANINOASA",NA,NA
"172","COM.BANESTI",NA,NA
"173","COM.BERCA",NA,NA
"174","COM.BERTEA",NA,NA
"175","COM.BOTENI",NA,NA
"176","COM.BRANESTI","44.4563868","26.3626222"
"177","COM.BREBU",NA,NA
"178","COM.CALUGARENI","45.8843027","22.9093127862583"
"179","COM.CIORANI",NA,NA
"180","COM.CREVENICU",NA,NA
"181","COM.CRISTIAN",NA,NA
"182","COM.CUMPANA",NA,NA
"183","COM.DAIA",NA,NA
"184","COM.GURA FOII",NA,NA
"185","COM.GURA OCNITEI",NA,NA
"186","COM.IZVOARELE",NA,NA
"187","COM.LERESTI",NA,NA
"188","COM.LIVEZI","46.4047998","26.7332188"
"189","COM.MAGURELE","44.3593135","26.0334228453894"
"190","COM.MAGURENI",NA,NA
"191","COM.MANECIU",NA,NA
"192","COM.MIHAESTI",NA,NA
"193","COM.MUSATESTI",NA,NA
"194","COM.OSTROV","42.9222321","-78.5904254273474"
"195","COM.PAULESTI",NA,NA
"196","COM.POIANA CIMPINA",NA,NA
"197","COM.PROVITA DE SUS",NA,NA
"198","COM.SCORTENI",NA,NA
"199","COM.SINGERU",NA,NA
"200","COM.SINPETRU",NA,NA
"201","COM.SNAGOV",NA,NA
"202","COM.STEFANESTI",NA,NA
"203","COM.TAMADAU MARE",NA,NA
"204","COM.TELEGA",NA,NA
"205","COM.TINOSU",NA,NA
"206","COM.TOMSANI",NA,NA
"207","COM.VADU SAPAT",NA,NA
"208","COM.VALEA CALUGAREASCA",NA,NA
